term	alps_release	FBbt	reference
T4	LPLC2_paper	FBbt:00003731	
T5	LPLC2_paper	FBbt:00003736	
LC4	LC Paper	FBbt:00003874	
LC6	LC Paper	FBbt:00003876	
CSD	MB Paper 2014	FBbt:00007405	FlyBase:FBrf0227179
MB-C1	MB Paper 2014	FBbt:00100226	FlyBase:FBrf0227179
PAM-gamma3	MB Paper 2014	FBbt:00100230	FlyBase:FBrf0227179
PAM-beta2beta'2a	MB Paper 2014	FBbt:00100231	FlyBase:FBrf0227179
MBON-beta'2mp	MB Paper 2014	FBbt:00100232	FlyBase:FBrf0227179
MBON-gamma5beta'2a	MB Paper 2014	FBbt:00100234	FlyBase:FBrf0227179
PPL1-alpha'2alpha2	MB Paper 2014	FBbt:00100236	FlyBase:FBrf0227179
MBON-alpha3	MB Paper 2014	FBbt:00100238	FlyBase:FBrf0227179
MBON-calyx	MB Paper 2014	FBbt:00100240	FlyBase:FBrf0227179
PPL1-gamma2alpha'1	MB Paper 2014	FBbt:00100241	FlyBase:FBrf0227179
MBON-beta1>alpha	MB Paper 2014	FBbt:00100242	FlyBase:FBrf0227179
PPL1-gamma1pedc	MB Paper 2014	FBbt:00100243	FlyBase:FBrf0227179
MBON-gamma1pedc>alpha/beta	MB Paper 2014	FBbt:00100246	FlyBase:FBrf0227179
alpha'/beta'ap KC	MB Paper 2014	FBbt:00100250	FlyBase:FBrf0227179
alpha'/beta'm KC	MB Paper 2014	FBbt:00100253	FlyBase:FBrf0227179
LC9	LC Paper	FBbt:00100480	
LC10	LC Paper	FBbt:00100482	
LC11	LC Paper	FBbt:00100483	
LC12	LC Paper	FBbt:00100484	
LC13	LC Paper	FBbt:00100485	
MBON-alpha2sc	MB Paper 2014	FBbt:00110101	FlyBase:FBrf0227179
MBON-alpha'2	MB Paper 2014	FBbt:00110102	FlyBase:FBrf0227179
OA-VPM3	MB Paper 2014	FBbt:00110151	FlyBase:FBrf0227179
OA-VPM4	MB Paper 2014	FBbt:00110152	FlyBase:FBrf0227179
PPL1-alpha3	MB Paper 2014	FBbt:00110320	FlyBase:FBrf0227179
PPL1-alpha'3	MB Paper 2014	FBbt:00110321	FlyBase:FBrf0227179
alpha/betac KC	MB Paper 2014	FBbt:00110929	FlyBase:FBrf0227179
