np_type	FBbt_id	FBbt_name	pub	comment	notes	notes_2
5-HTPLP01	FBbt:00110945	adult serotonergic PLP neuron			specificity	
5-HTPMPD01	FBbt:00110955	adult serotonergic PMPD neuron			specificity	
5-HTPMPV01	FBbt:00110937	adult serotonergic IP neuron			specificity	
5-HTPMPV03	FBbt:00110937	adult serotonergic IP neuron			specificity	
aDT4	FBbt:00110539	adult fruitless aDT4 neuron				
aIPg1					?	
aIPg2					?	
aIPg3					?	
aIPg4					?	
AL-AST1	FBbt:00047928	antennal lobe AST-associated neuron 1				
AL-MBDL1	FBbt:00047933	antennal lobe median bundle neuron 1				
ALBN1					?	
ALIN1					AL but not intrinsic?	
ALIN2					AL but not intrinsic?	
ALIN3					AL but not intrinsic?	
aMe1					?	
aMe10					?	
aMe12					?	
aMe13					?	
aMe14a					?	
aMe14b					?	
aMe15					?	
aMe17a					?	
aMe17b					?	
aMe17c					?	
aMe19a					?	
aMe19b					?	
aMe2					?	
aMe20					?	
aMe22					?	
aMe23					?	
aMe24					?	
aMe25					?	
aMe26					?	
aMe3					?	
aMe4					?	
aMe5					?	
aMe6a					?	
aMe6b					?	
aMe6c					?	
aMe8					?	
aMe9					?	
AMMC-A1	FBbt:00110183	antennal mechanosensory and motor center A1 projection neuron				
AOTU001						
AOTU002_a						
AOTU002_b						
AOTU003						
AOTU004						
AOTU005						
AOTU006						
AOTU007						
AOTU008_a						
AOTU008_b						
AOTU009						
AOTU010						
AOTU011						
AOTU012						
AOTU013						
AOTU014						
AOTU015						
AOTU016						
AOTU017						
AOTU018						
AOTU019						
AOTU020						
AOTU021						
AOTU022						
AOTU023						
AOTU024						
AOTU025						
AOTU026						
AOTU027						
AOTU028						
AOTU029						
AOTU030						
AOTU031						
AOTU032						
AOTU033						
AOTU034						
AOTU035						
AOTU036						
AOTU037						
AOTU038						
AOTU039						
AOTU040						
AOTU041						
AOTU042						
AOTU043						
AOTU044						
AOTU045						
AOTU046						
AOTU047						
AOTU048						
AOTU049						
AOTU050						
AOTU051						
AOTU052						
AOTU053						
AOTU054						
AOTU055						
AOTU056						
AOTU057						
AOTU058						
AOTU059						
AOTU060						
AOTU061						
AOTU062						
AOTU063						
AOTU064						
AOTU065						
APL	FBbt:00100222	adult mushroom body anterior paired lateral cell				
aSP-f1A	FBbt:00110459	adult fruitless aSP-f (female) neuron			specificity	
aSP-f1B	FBbt:00110459	adult fruitless aSP-f (female) neuron			specificity	
aSP-f2	FBbt:00110459	adult fruitless aSP-f (female) neuron			specificity	
aSP-f3	FBbt:00110459	adult fruitless aSP-f (female) neuron			specificity	
aSP-f4	FBbt:00110459	adult fruitless aSP-f (female) neuron			specificity	
aSP-g1	FBbt:00110461	adult fruitless aSP-g (female) neuron			specificity	
aSP-g2	FBbt:00110461	adult fruitless aSP-g (female) neuron			specificity	
aSP-g3A	FBbt:00110461	adult fruitless aSP-g (female) neuron			specificity	
aSP-g3B	FBbt:00110461	adult fruitless aSP-g (female) neuron			specificity	
aSP10A	FBbt:00111194	adult fruitless aSP10 neuron			specificity	
aSP10B	FBbt:00111194	adult fruitless aSP10 neuron			specificity	
aSP10C_a	FBbt:00111194	adult fruitless aSP10 neuron			specificity	
aSP10C_b	FBbt:00111194	adult fruitless aSP10 neuron			specificity	
aSP8	FBbt:00110469	adult fruitless aSP-k (female) neuron			specificity	
AstA1					?	not clear if SLP or other, LPN has its own type
ATL001						
ATL002						
ATL003						
ATL004						
ATL005						
ATL006						
ATL007						
ATL008						
ATL009						
ATL010						
ATL011						
ATL012						
ATL013						
ATL014						
ATL015						
ATL016						
ATL017						
ATL018						
ATL019						
ATL020						
ATL021						
ATL022						
ATL023						
ATL024						
ATL025						
ATL026						
ATL027						
ATL028						
ATL029						
ATL030						
ATL031						
ATL032						
ATL033						
ATL034						
ATL035						
ATL036						
ATL037						
ATL038						
ATL039						
ATL040						
ATL041						
ATL042						
ATL043						
ATL044						
ATL045						
AVLP001						
AVLP002						
AVLP003						
AVLP004						
AVLP005						
AVLP006						
AVLP007						
AVLP008						
AVLP009						
AVLP010						
AVLP011						
AVLP012						
AVLP013						
AVLP014						
AVLP015						
AVLP016						
AVLP017						
AVLP018						
AVLP019						
AVLP020						
AVLP021						
AVLP022						
AVLP023						
AVLP024						
AVLP025						
AVLP026						
AVLP027						
AVLP028						
AVLP029						
AVLP030						
AVLP031						
AVLP032						
AVLP033						
AVLP034						
AVLP035						
AVLP036						
AVLP037						
AVLP038						
AVLP039						
AVLP040						
AVLP041						
AVLP042						
AVLP043						
AVLP044_a						
AVLP044_b						
AVLP045						
AVLP046						
AVLP047						
AVLP048						
AVLP049						
AVLP050						
AVLP051						
AVLP052						
AVLP053						
AVLP054						
AVLP055						
AVLP056						
AVLP057						
AVLP058						
AVLP059						
AVLP060						
AVLP061						
AVLP062						
AVLP063						
AVLP064						
AVLP065						
AVLP066						
AVLP067						
AVLP068						
AVLP069_a						
AVLP069_b						
AVLP069_c						
AVLP070						
AVLP071						
AVLP072_a						
AVLP072_b						
AVLP073						
AVLP074						
AVLP075						
AVLP076						
AVLP077						
AVLP078						
AVLP079						
AVLP080						
AVLP081						
AVLP082						
AVLP083						
AVLP084						
AVLP085						
AVLP086						
AVLP087						
AVLP088						
AVLP089						
AVLP090						
AVLP091						
AVLP092						
AVLP093						
AVLP094						
AVLP095						
AVLP096						
AVLP097						
AVLP098						
AVLP099						
AVLP100						
AVLP101						
AVLP102						
AVLP103						
AVLP104						
AVLP105						
AVLP106						
AVLP107						
AVLP108						
AVLP109						
AVLP110						
AVLP111						
AVLP112						
AVLP113						
AVLP114						
AVLP115						
AVLP116						
AVLP117						
AVLP118						
AVLP119						
AVLP120						
AVLP121						
AVLP122						
AVLP123						
AVLP124						
AVLP125						
AVLP126						
AVLP127						
AVLP128						
AVLP129						
AVLP130						
AVLP131						
AVLP132						
AVLP133						
AVLP134						
AVLP135						
AVLP136						
AVLP137						
AVLP138						
AVLP139						
AVLP140						
AVLP141						
AVLP142						
AVLP143						
AVLP144						
AVLP145						
AVLP146						
AVLP147						
AVLP148						
AVLP149						
AVLP150						
AVLP151						
AVLP152						
AVLP153						
AVLP154						
AVLP155						
AVLP156						
AVLP157						
AVLP158						
AVLP159						
AVLP160						
AVLP161						
AVLP162						
AVLP163						
AVLP164						
AVLP165						
AVLP166						
AVLP167_a						
AVLP167_b						
AVLP168						
AVLP169						
AVLP170						
AVLP171						
AVLP172						
AVLP173						
AVLP174						
AVLP175						
AVLP176_a						
AVLP176_b						
AVLP176_c						
AVLP176_d						
