term	FBbt	reference
AL-AST1	FBbt:00047928	
AL-MBDL1	FBbt:00047933	
AMMC-A1	FBbt:00110183	
AOTU001	FBbt:20000000	
AOTU002	FBbt:20000001	
AOTU003	FBbt:20000002	
AOTU004	FBbt:20000003	
AOTU005	FBbt:20000004	
AOTU006	FBbt:20000005	
AOTU007	FBbt:20000006	
AOTU008	FBbt:20000007	
AOTU009	FBbt:20000008	
AOTU010	FBbt:20000009	
AOTU011	FBbt:20000010	
AOTU012	FBbt:20000011	
AOTU013	FBbt:20000012	
AOTU014	FBbt:20000013	
AOTU015	FBbt:20000014	
AOTU016	FBbt:20000015	
AOTU017	FBbt:20000016	
AOTU018	FBbt:20000017	
AOTU019	FBbt:20000018	
AOTU020	FBbt:20000019	
AOTU021	FBbt:20000020	
AOTU022	FBbt:20000021	
AOTU023	FBbt:20000022	
AOTU024	FBbt:20000023	
AOTU025	FBbt:20000024	
AOTU026	FBbt:20000025	
AOTU027	FBbt:20000026	
AOTU028	FBbt:20000027	
AOTU029	FBbt:20000028	
AOTU030	FBbt:20000029	
AOTU031	FBbt:20000030	
AOTU032	FBbt:20000031	
AOTU033	FBbt:20000032	
AOTU034	FBbt:20000033	
AOTU035	FBbt:20000034	
AOTU036	FBbt:20000035	
AOTU037	FBbt:20000036	
AOTU038	FBbt:20000037	
AOTU039	FBbt:20000038	
AOTU040	FBbt:20000039	
AOTU041	FBbt:20000040	
AOTU042	FBbt:20000041	
AOTU043	FBbt:20000042	
AOTU044	FBbt:20000043	
AOTU045	FBbt:20000044	
AOTU046	FBbt:20000045	
AOTU047	FBbt:20000046	
AOTU048	FBbt:20000047	
AOTU049	FBbt:20000048	
AOTU050	FBbt:20000049	
AOTU051	FBbt:20000050	
AOTU052	FBbt:20000051	
AOTU053	FBbt:20000052	
AOTU054	FBbt:20000053	
AOTU055	FBbt:20000054	
AOTU056	FBbt:20000055	
AOTU057	FBbt:20000056	
AOTU058	FBbt:20000057	
AOTU059	FBbt:20000058	
AOTU060	FBbt:20000059	
AOTU061	FBbt:20000060	
AOTU062	FBbt:20000061	
AOTU063	FBbt:20000062	
AOTU064	FBbt:20000063	
AOTU065	FBbt:20000064	
APL	FBbt:00100222	
ATL001	FBbt:20000065	
ATL002	FBbt:20000066	
ATL003	FBbt:20000067	
ATL004	FBbt:20000068	
ATL005	FBbt:20000069	
ATL006	FBbt:20000070	
ATL007	FBbt:20000071	
ATL008	FBbt:20000072	
ATL009	FBbt:20000073	
ATL010	FBbt:20000074	
ATL011	FBbt:20000075	
ATL012	FBbt:20000076	
ATL013	FBbt:20000077	
ATL014	FBbt:20000078	
ATL015	FBbt:20000079	
ATL016	FBbt:20000080	
ATL017	FBbt:20000081	
ATL018	FBbt:20000082	
ATL019	FBbt:20000083	
ATL020	FBbt:20000084	
ATL021	FBbt:20000085	
ATL022	FBbt:20000086	
ATL023	FBbt:20000087	
ATL024	FBbt:20000088	
ATL025	FBbt:20000089	
ATL026	FBbt:20000090	
ATL027	FBbt:20000091	
ATL028	FBbt:20000092	
ATL029	FBbt:20000093	
ATL030	FBbt:20000094	
ATL031	FBbt:20000095	
ATL032	FBbt:20000096	
ATL033	FBbt:20000097	
ATL034	FBbt:20000098	
ATL035	FBbt:20000099	
ATL036	FBbt:20000100	
ATL037	FBbt:20000101	
ATL038	FBbt:20000102	
ATL039	FBbt:20000103	
ATL040	FBbt:20000104	
ATL041	FBbt:20000105	
ATL042	FBbt:20000106	
ATL043	FBbt:20000107	
ATL044	FBbt:20000108	
ATL045	FBbt:20000109	
AVLP001	FBbt:20000110	
AVLP002	FBbt:20000111	
AVLP003	FBbt:20000112	
AVLP004	FBbt:20000113	
AVLP005	FBbt:20000114	
AVLP006	FBbt:20000115	
AVLP007	FBbt:20000116	
AVLP008	FBbt:20000117	
AVLP009	FBbt:20000118	
AVLP010	FBbt:20000119	
AVLP011	FBbt:20000120	
AVLP012	FBbt:20000121	
AVLP013	FBbt:20000122	
AVLP014	FBbt:20000123	
AVLP015	FBbt:20000124	
AVLP016	FBbt:20000125	
AVLP017	FBbt:20000126	
AVLP018	FBbt:20000127	
AVLP019	FBbt:20000128	
AVLP020	FBbt:20000129	
AVLP021	FBbt:20000130	
AVLP022	FBbt:20000131	
AVLP023	FBbt:20000132	
AVLP024	FBbt:20000133	
AVLP025	FBbt:20000134	
AVLP026	FBbt:20000135	
AVLP027	FBbt:20000136	
AVLP028	FBbt:20000137	
AVLP029	FBbt:20000138	
AVLP030	FBbt:20000139	
AVLP031	FBbt:20000140	
AVLP032	FBbt:20000141	
AVLP033	FBbt:20000142	
AVLP034	FBbt:20000143	
AVLP035	FBbt:20000144	
AVLP036	FBbt:20000145	
AVLP037	FBbt:20000146	
AVLP038	FBbt:20000147	
AVLP039	FBbt:20000148	
AVLP040	FBbt:20000149	
AVLP041	FBbt:20000150	
AVLP042	FBbt:20000151	
AVLP043	FBbt:20000152	
AVLP044	FBbt:20000153	
AVLP045	FBbt:20000154	
AVLP046	FBbt:20000155	
AVLP047	FBbt:20000156	
AVLP048	FBbt:20000157	
AVLP049	FBbt:20000158	
AVLP050	FBbt:20000159	
AVLP051	FBbt:20000160	
AVLP052	FBbt:20000161	
AVLP053	FBbt:20000162	
AVLP054	FBbt:20000163	
AVLP055	FBbt:20000164	
AVLP056	FBbt:20000165	
AVLP057	FBbt:20000166	
AVLP058	FBbt:20000167	
AVLP059	FBbt:20000168	
AVLP060	FBbt:20000169	
AVLP061	FBbt:20000170	
AVLP062	FBbt:20000171	
AVLP063	FBbt:20000172	
AVLP064	FBbt:20000173	
AVLP065	FBbt:20000174	
AVLP066	FBbt:20000175	
AVLP067	FBbt:20000176	
AVLP068	FBbt:20000177	
AVLP069	FBbt:20000178	
AVLP070	FBbt:20000179	
AVLP071	FBbt:20000180	
AVLP072	FBbt:20000181	
AVLP073	FBbt:20000182	
AVLP074	FBbt:20000183	
AVLP075	FBbt:20000184	
AVLP076	FBbt:20000185	
AVLP077	FBbt:20000186	
AVLP078	FBbt:20000187	
AVLP079	FBbt:20000188	
AVLP080	FBbt:20000189	
AVLP081	FBbt:20000190	
AVLP082	FBbt:20000191	
AVLP083	FBbt:20000192	
AVLP084	FBbt:20000193	
AVLP085	FBbt:20000194	
AVLP086	FBbt:20000195	
AVLP087	FBbt:20000196	
AVLP088	FBbt:20000197	
AVLP089	FBbt:20000198	
AVLP090	FBbt:20000199	
AVLP091	FBbt:20000200	
AVLP092	FBbt:20000201	
AVLP093	FBbt:20000202	
AVLP094	FBbt:20000203	
AVLP095	FBbt:20000204	
AVLP096	FBbt:20000205	
AVLP097	FBbt:20000206	
AVLP098	FBbt:20000207	
AVLP099	FBbt:20000208	
AVLP100	FBbt:20000209	
AVLP101	FBbt:20000210	
AVLP102	FBbt:20000211	
AVLP103	FBbt:20000212	
AVLP104	FBbt:20000213	
AVLP105	FBbt:20000214	
AVLP106	FBbt:20000215	
AVLP107	FBbt:20000216	
AVLP108	FBbt:20000217	
AVLP109	FBbt:20000218	
AVLP110	FBbt:20000219	
AVLP111	FBbt:20000220	
AVLP112	FBbt:20000221	
AVLP113	FBbt:20000222	
AVLP114	FBbt:20000223	
AVLP115	FBbt:20000224	
AVLP116	FBbt:20000225	
AVLP117	FBbt:20000226	
AVLP118	FBbt:20000227	
AVLP119	FBbt:20000228	
AVLP120	FBbt:20000229	
AVLP121	FBbt:20000230	
AVLP122	FBbt:20000231	
AVLP123	FBbt:20000232	
AVLP124	FBbt:20000233	
AVLP125	FBbt:20000234	
AVLP126	FBbt:20000235	
AVLP127	FBbt:20000236	
AVLP128	FBbt:20000237	
AVLP129	FBbt:20000238	
AVLP130	FBbt:20000239	
AVLP131	FBbt:20000240	
AVLP132	FBbt:20000241	
AVLP133	FBbt:20000242	
AVLP134	FBbt:20000243	
AVLP135	FBbt:20000244	
AVLP136	FBbt:20000245	
AVLP137	FBbt:20000246	
AVLP138	FBbt:20000247	
AVLP139	FBbt:20000248	
AVLP140	FBbt:20000249	
AVLP141	FBbt:20000250	
AVLP142	FBbt:20000251	
AVLP143	FBbt:20000252	
AVLP144	FBbt:20000253	
AVLP145	FBbt:20000254	
AVLP146	FBbt:20000255	
AVLP147	FBbt:20000256	
AVLP148	FBbt:20000257	
AVLP149	FBbt:20000258	
AVLP150	FBbt:20000259	
AVLP151	FBbt:20000260	
AVLP152	FBbt:20000261	
AVLP153	FBbt:20000262	
AVLP154	FBbt:20000263	
AVLP155	FBbt:20000264	
AVLP156	FBbt:20000265	
AVLP157	FBbt:20000266	
AVLP158	FBbt:20000267	
AVLP159	FBbt:20000268	
AVLP160	FBbt:20000269	
AVLP161	FBbt:20000270	
AVLP162	FBbt:20000271	
AVLP163	FBbt:20000272	
AVLP164	FBbt:20000273	
