term	FBbt	reference	in_file	FBbt_name
PAM-gamma3	FBbt:00100230	FlyBase:FBrf0227179	old	mushroom body medial lobe arborizing neuron 2
PAM12	FBbt:00100230		new	mushroom body medial lobe arborizing neuron 2
PAM03	FBbt:00100231		new	mushroom body medial lobe arborizing neuron 3
PAM-beta2beta'2a	FBbt:00100231	FlyBase:FBrf0227179	old	mushroom body medial lobe arborizing neuron 3
MBON-beta'2mp	FBbt:00100232	FlyBase:FBrf0227179	old	mushroom body medial lobe arborizing neuron 4
MBON03	FBbt:00100232		new	mushroom body medial lobe arborizing neuron 4
MBON-gamma5beta'2a	FBbt:00100234	FlyBase:FBrf0227179	old	mushroom body medial lobe arborizing neuron 6
MBON01	FBbt:00100234		new	mushroom body medial lobe arborizing neuron 6
PPL105	FBbt:00100236		new	mushroom body vertical lobe arborizing neuron 1
PPL1-alpha'2alpha2	FBbt:00100236	FlyBase:FBrf0227179	old	mushroom body vertical lobe arborizing neuron 1
MBON-alpha3	FBbt:00100238	FlyBase:FBrf0227179	old	mushroom body vertical lobe arborizing neuron 3
MBON14	FBbt:00100238		new	mushroom body vertical lobe arborizing neuron 3
MBON-calyx	FBbt:00100240	FlyBase:FBrf0227179	old	mushroom body calyx-pedunculus arborizing neuron 1
MBON22	FBbt:00100240		new	mushroom body calyx-pedunculus arborizing neuron 1
PPL1-gamma2alpha'1	FBbt:00100241	FlyBase:FBrf0227179	old	mushroom body medial-vertical lobe arborizing neuron 1
PPL103	FBbt:00100241		new	mushroom body medial-vertical lobe arborizing neuron 1
MBON06	FBbt:00100242		new	mushroom body medial-vertical lobe arborizing neuron 2
MBON-beta1>alpha	FBbt:00100242	FlyBase:FBrf0227179	old	mushroom body medial-vertical lobe arborizing neuron 2
PPL1-gamma1pedc	FBbt:00100243	FlyBase:FBrf0227179	old	mushroom body pedunculus-medial lobe arborizing neuron 1
PPL101	FBbt:00100243		new	mushroom body pedunculus-medial lobe arborizing neuron 1
MBON11	FBbt:00100246		new	mushroom body pedunculus-medial lobe and vertical lobe arborizing neuron 2
MBON-gamma1pedc>alpha/beta	FBbt:00100246	FlyBase:FBrf0227179	old	mushroom body pedunculus-medial lobe and vertical lobe arborizing neuron 2
alpha'/beta'm KC	FBbt:00100253	FlyBase:FBrf0227179	old	alpha\'/beta\' middle Kenyon cell
KCa'b'-m	FBbt:00100253		new	alpha\'/beta\' middle Kenyon cell
MBON-alpha2sc	FBbt:00110101	FlyBase:FBrf0227179	old	mushroom body vertical lobe arborizing neuron 2 alpha
MBON18	FBbt:00110101		new	mushroom body vertical lobe arborizing neuron 2 alpha
PPL1-alpha3	FBbt:00110320	FlyBase:FBrf0227179	old	MB-alpha neuron of the dopaminergic PPL1 cluster
PPL106	FBbt:00110320		new	MB-alpha neuron of the dopaminergic PPL1 cluster
PPL1-alpha'3	FBbt:00110321	FlyBase:FBrf0227179	old	MB-alpha\' neuron of the dopaminergic PPL1 cluster
PPL104	FBbt:00110321		new	MB-alpha\' neuron of the dopaminergic PPL1 cluster
alpha/betac KC	FBbt:00110929	FlyBase:FBrf0227179	old	alpha/beta core Kenyon cell
KCab-c	FBbt:00110929		new	alpha/beta core Kenyon cell
alpha/betas KC	FBbt:00110930	FlyBase:FBrf0227179	old	alpha/beta surface Kenyon cell
KCab-s	FBbt:00110930		new	alpha/beta surface Kenyon cell
alpha/betap KC	FBbt:00110931	FlyBase:FBrf0227179	old	alpha/beta posterior Kenyon cell
KCab-p	FBbt:00110931		new	alpha/beta posterior Kenyon cell
KCg-d	FBbt:00110932		new	gamma dorsal Kenyon cell
