ID	CLASS_TYPE	RDF_Type	Symbol	ref1	Synonym_gr	ref2	Synonym_en	ref3
ID	CLASS_TYPE	TYPE	A IAO:0000028	>A oboInOwl:hasDbXref	A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref
FBbt:00110945	subclass	owl:Class	5-HTPLP01		5-HTPLP01			
FBbt:00110955	subclass	owl:Class	5-HTPMPD01		5-HTPMPD01			
FBbt:00047928	subclass	owl:Class	AL-AST1					
FBbt:00047933	subclass	owl:Class	AL-MBDL1					
FBbt:00110183	subclass	owl:Class	AMMC-A1		AMMC-A1			
FBbt:00100222	subclass	owl:Class	APL		APL			
FBbt:00007405	subclass	owl:Class	CSD	FlyBase:FBrf0227179	CSD	FlyBase:FBrf0227179		
FBbt:00048245	subclass	owl:Class	CT1		CT1			
FBbt:00067363	subclass	owl:Class	DA1_lPN		DA1_lPN			
FBbt:00067372	subclass	owl:Class	DA1_vPN		DA1_vPN			
FBbt:00110882	subclass	owl:Class	DA2_lPN		DA2_lPN			
FBbt:00100384	subclass	owl:Class	DA3_adPN		DA3_adPN			
FBbt:00100367	subclass	owl:Class	DA4l_adPN		DA4l_adPN			
FBbt:00047714	subclass	owl:Class	DA4m_adPN		DA4m_adPN			
FBbt:00067014	subclass	owl:Class	DC1_adPN		DC1_adPN			
FBbt:00067354	subclass	owl:Class	DC2_adPN		DC2_adPN			
FBbt:00040000	subclass	owl:Class	DC3_adPN		DC3_adPN			
FBbt:00111211	subclass	owl:Class	DC4_adPN		DC4_adPN			
FBbt:00048126	subclass	owl:Class	DCH		DCH			
FBbt:00047215	subclass	owl:Class	DGI		DGI			
FBbt:00067353	subclass	owl:Class	DL1_adPN		DL1_adPN			
FBbt:00100389	subclass	owl:Class	DL2d_adPN		DL2d_adPN			
FBbt:00100388	subclass	owl:Class	DL2v_adPN		DL2v_adPN			
FBbt:00067364	subclass	owl:Class	DL3_lPN		DL3_lPN			
FBbt:00100382	subclass	owl:Class	DL4_adPN		DL4_adPN			
FBbt:00067028	subclass	owl:Class	DL5_adPN		DL5_adPN			
FBbt:00067369	subclass	owl:Class	DM1_lPN		DM1_lPN			
FBbt:00067368	subclass	owl:Class	DM2_lPN		DM2_lPN			
FBbt:00067017	subclass	owl:Class	DM3_adPN		DM3_adPN			
FBbt:00100381	subclass	owl:Class	DM4_adPN		DM4_adPN			
FBbt:00067367	subclass	owl:Class	DM5_lPN		DM5_lPN			
FBbt:00067360	subclass	owl:Class	DM6_adPN		DM6_adPN			
FBbt:00007429	subclass	owl:Class	DN1a					
FBbt:00047572	subclass	owl:Class	DNa01	FlyBase:FBrf0239335				
FBbt:00047573	subclass	owl:Class	DNa02	FlyBase:FBrf0239335				
FBbt:00047574	subclass	owl:Class	DNa03	FlyBase:FBrf0239335				
FBbt:00047575	subclass	owl:Class	DNa04	FlyBase:FBrf0239335				
FBbt:00047576	subclass	owl:Class	DNa05	FlyBase:FBrf0239335				
FBbt:00047577	subclass	owl:Class	DNa06	FlyBase:FBrf0239335				
FBbt:00047578	subclass	owl:Class	DNa07	FlyBase:FBrf0239335				
FBbt:00047579	subclass	owl:Class	DNa08	FlyBase:FBrf0239335				
FBbt:00047580	subclass	owl:Class	DNa09	FlyBase:FBrf0239335				
FBbt:00047581	subclass	owl:Class	DNa10	FlyBase:FBrf0239335				
FBbt:00047582	subclass	owl:Class	DNb01	FlyBase:FBrf0239335				
FBbt:00047583	subclass	owl:Class	DNb02	FlyBase:FBrf0239335				
FBbt:00047584	subclass	owl:Class	DNb03	FlyBase:FBrf0239335				
FBbt:00047585	subclass	owl:Class	DNb04	FlyBase:FBrf0239335				
FBbt:00047586	subclass	owl:Class	DNb05	FlyBase:FBrf0239335				
FBbt:00047587	subclass	owl:Class	DNb06	FlyBase:FBrf0239335				
FBbt:00047588	subclass	owl:Class	DNc01	FlyBase:FBrf0239335				
FBbt:00047589	subclass	owl:Class	DNc02	FlyBase:FBrf0239335				
FBbt:00047590	subclass	owl:Class	DNd01	FlyBase:FBrf0239335				
FBbt:00047591	subclass	owl:Class	DNd02	FlyBase:FBrf0239335				
FBbt:00047592	subclass	owl:Class	DNd03	FlyBase:FBrf0239335				
FBbt:00047593	subclass	owl:Class	DNg01	FlyBase:FBrf0239335				
FBbt:00047594	subclass	owl:Class	DNg02	FlyBase:FBrf0239335				
FBbt:00047595	subclass	owl:Class	DNg03	FlyBase:FBrf0239335				
FBbt:00047596	subclass	owl:Class	DNg04	FlyBase:FBrf0239335				
FBbt:00047597	subclass	owl:Class	DNg05	FlyBase:FBrf0239335				
FBbt:00047598	subclass	owl:Class	DNg06	FlyBase:FBrf0239335				
FBbt:00047599	subclass	owl:Class	DNg07	FlyBase:FBrf0239335				
FBbt:00047600	subclass	owl:Class	DNg08	FlyBase:FBrf0239335				
FBbt:00047601	subclass	owl:Class	DNg09	FlyBase:FBrf0239335				
FBbt:00047602	subclass	owl:Class	DNg10	FlyBase:FBrf0239335				
FBbt:00047603	subclass	owl:Class	DNg11	FlyBase:FBrf0239335				
FBbt:00047604	subclass	owl:Class	DNg12	FlyBase:FBrf0239335				
FBbt:00047605	subclass	owl:Class	DNg13	FlyBase:FBrf0239335				
FBbt:00047606	subclass	owl:Class	DNg14	FlyBase:FBrf0239335				
FBbt:00047607	subclass	owl:Class	DNg15	FlyBase:FBrf0239335				
FBbt:00047608	subclass	owl:Class	DNg16	FlyBase:FBrf0239335				
FBbt:00047609	subclass	owl:Class	DNg17	FlyBase:FBrf0239335				
FBbt:00047610	subclass	owl:Class	DNg18	FlyBase:FBrf0239335				
FBbt:00047611	subclass	owl:Class	DNg19	FlyBase:FBrf0239335				
FBbt:00047612	subclass	owl:Class	DNg20	FlyBase:FBrf0239335				
FBbt:00047613	subclass	owl:Class	DNg21	FlyBase:FBrf0239335				
FBbt:00047614	subclass	owl:Class	DNg22	FlyBase:FBrf0239335				
FBbt:00047615	subclass	owl:Class	DNg23	FlyBase:FBrf0239335				
FBbt:00047616	subclass	owl:Class	DNg24	FlyBase:FBrf0239335				
FBbt:00047617	subclass	owl:Class	DNg25	FlyBase:FBrf0239335				
FBbt:00047618	subclass	owl:Class	DNg26	FlyBase:FBrf0239335				
FBbt:00047619	subclass	owl:Class	DNg27	FlyBase:FBrf0239335				
FBbt:00047620	subclass	owl:Class	DNg28	FlyBase:FBrf0239335				
FBbt:00047621	subclass	owl:Class	DNg29	FlyBase:FBrf0239335				
FBbt:00047622	subclass	owl:Class	DNg30	FlyBase:FBrf0239335				
FBbt:00047623	subclass	owl:Class	DNg31	FlyBase:FBrf0239335				
FBbt:00047624	subclass	owl:Class	DNg32	FlyBase:FBrf0239335				
FBbt:00047625	subclass	owl:Class	DNg33	FlyBase:FBrf0239335				
FBbt:00047626	subclass	owl:Class	DNg34	FlyBase:FBrf0239335				
FBbt:00047627	subclass	owl:Class	DNg35	FlyBase:FBrf0239335				
FBbt:00047628	subclass	owl:Class	DNg36	FlyBase:FBrf0239335				
FBbt:00047629	subclass	owl:Class	DNg37	FlyBase:FBrf0239335				
FBbt:00047630	subclass	owl:Class	DNg38	FlyBase:FBrf0239335				
FBbt:00047631	subclass	owl:Class	DNg39	FlyBase:FBrf0239335				
FBbt:00047632	subclass	owl:Class	DNg40	FlyBase:FBrf0239335				
FBbt:00047633	subclass	owl:Class	DNg41	FlyBase:FBrf0239335				
FBbt:00047634	subclass	owl:Class	DNp01	FlyBase:FBrf0239335				
FBbt:00047635	subclass	owl:Class	DNp02	FlyBase:FBrf0239335				
FBbt:00047636	subclass	owl:Class	DNp03	FlyBase:FBrf0239335				
FBbt:00047637	subclass	owl:Class	DNp04	FlyBase:FBrf0239335				
FBbt:00047638	subclass	owl:Class	DNp05	FlyBase:FBrf0239335				
FBbt:00047639	subclass	owl:Class	DNp06	FlyBase:FBrf0239335				
FBbt:00047640	subclass	owl:Class	DNp07	FlyBase:FBrf0239335				
FBbt:00047641	subclass	owl:Class	DNp08	FlyBase:FBrf0239335				
FBbt:00047642	subclass	owl:Class	DNp09	FlyBase:FBrf0239335				
FBbt:00047643	subclass	owl:Class	DNp10	FlyBase:FBrf0239335				
FBbt:00047644	subclass	owl:Class	DNp11	FlyBase:FBrf0239335				
FBbt:00047645	subclass	owl:Class	DNp12	FlyBase:FBrf0239335				
FBbt:00047646	subclass	owl:Class	DNp13	FlyBase:FBrf0239335				
FBbt:00047647	subclass	owl:Class	DNp14	FlyBase:FBrf0239335				
FBbt:00047648	subclass	owl:Class	DNp15	FlyBase:FBrf0239335				
FBbt:00047649	subclass	owl:Class	DNp16	FlyBase:FBrf0239335				
FBbt:00047650	subclass	owl:Class	DNp17	FlyBase:FBrf0239335				
FBbt:00047651	subclass	owl:Class	DNp18	FlyBase:FBrf0239335				
FBbt:00047652	subclass	owl:Class	DNp19	FlyBase:FBrf0239335				
FBbt:00047653	subclass	owl:Class	DNp20	FlyBase:FBrf0239335				
FBbt:00047654	subclass	owl:Class	DNp21	FlyBase:FBrf0239335				
FBbt:00047655	subclass	owl:Class	DNp22	FlyBase:FBrf0239335				
FBbt:00047656	subclass	owl:Class	DNp23	FlyBase:FBrf0239335				
FBbt:00047657	subclass	owl:Class	DNp24	FlyBase:FBrf0239335				
FBbt:00047658	subclass	owl:Class	DNp25	FlyBase:FBrf0239335				
FBbt:00047659	subclass	owl:Class	DNp26	FlyBase:FBrf0239335				
FBbt:00047660	subclass	owl:Class	DNp27	FlyBase:FBrf0239335				
FBbt:00047661	subclass	owl:Class	DNp28	FlyBase:FBrf0239335				
FBbt:00047662	subclass	owl:Class	DNp29	FlyBase:FBrf0239335				
FBbt:00047663	subclass	owl:Class	DNp30	FlyBase:FBrf0239335				
FBbt:00047664	subclass	owl:Class	DNp31	FlyBase:FBrf0239335				
FBbt:00047665	subclass	owl:Class	DNp32	FlyBase:FBrf0239335				
FBbt:00047666	subclass	owl:Class	DNp33	FlyBase:FBrf0239335				
FBbt:00047667	subclass	owl:Class	DNp34	FlyBase:FBrf0239335				
FBbt:00047668	subclass	owl:Class	DNp35	FlyBase:FBrf0239335				
FBbt:00047669	subclass	owl:Class	DNx01	FlyBase:FBrf0239335				
FBbt:00007475	subclass	owl:Class	DP1l_adPN		DP1l_adPN			
FBbt:00067021	subclass	owl:Class	DP1m_adPN		DP1m_adPN			
FBbt:00005780	subclass	owl:Class	DPM					
FBbt:00067355	subclass	owl:Class	D_adPN		D_adPN			
FBbt:00111057	subclass	owl:Class	Δ7		Δ7		Delta7	
FBbt:00049180	subclass	owl:Class	EL	FlyBase:FBrf0240744	EL	FlyBase:FBrf0240744		
FBbt:00047030	subclass	owl:Class	EPG	FlyBase:FBrf0240744	EPG	FlyBase:FBrf0240744		
FBbt:00111423	subclass	owl:Class	EPGt	FlyBase:FBrf0240744	EPGt	FlyBase:FBrf0240744		
FBbt:00003650	subclass	owl:Class	ER1		ER1			
FBbt:00003651	subclass	owl:Class	ER2		ER2			
FBbt:00047039	subclass	owl:Class	ER3a		ER3a			
FBbt:00047037	subclass	owl:Class	ER3d		ER3d			
FBbt:00047038	subclass	owl:Class	ER3m		ER3m			
FBbt:00047040	subclass	owl:Class	ER3p		ER3p			
FBbt:00047041	subclass	owl:Class	ER3w		ER3w			
FBbt:00007538	subclass	owl:Class	ER4d		ER4d			
FBbt:00007537	subclass	owl:Class	ER4m		ER4m			
FBbt:00047042	subclass	owl:Class	ER5		ER5			
FBbt:00047043	subclass	owl:Class	ER6		ER6			
FBbt:00003655	subclass	owl:Class	ExR1					
FBbt:00110327	subclass	owl:Class	ExR2					
FBbt:00047035	subclass	owl:Class	ExR3		ExR3			
FBbt:00047036	subclass	owl:Class	ExR4		ExR4			
FBbt:00047991	subclass	owl:Class	H1		H1			
FBbt:00005740	subclass	owl:Class	HBeyelet		HBeyelet			
FBbt:00047225	subclass	owl:Class	HRN_VP4		HRN_VP4			
FBbt:00047222	subclass	owl:Class	HRN_VP5		HRN_VP5			
FBbt:00003919	subclass	owl:Class	HSE					
FBbt:00003918	subclass	owl:Class	HSN					
FBbt:00003920	subclass	owl:Class	HSS					
FBbt:00111383	subclass	owl:Class	IbSpsP	FlyBase:FBrf0240744	IbSpsP	FlyBase:FBrf0240744		
FBbt:00100253	subclass	owl:Class	KCa'b'-m		KCa'b'-m			
FBbt:00110929	subclass	owl:Class	KCab-c		KCab-c			
FBbt:00100248	subclass	owl:Class	KCab-m		KCab-m			
FBbt:00110931	subclass	owl:Class	KCab-p		KCab-p			
FBbt:00110930	subclass	owl:Class	KCab-s		KCab-s			
FBbt:00110932	subclass	owl:Class	KCg-d		KCg-d			
FBbt:00111061	subclass	owl:Class	KCg-m		KCg-m			
FBbt:00100482	subclass	owl:Class	LC10		LC10			
FBbt:00111747	subclass	owl:Class	LC10a		LC10a			
FBbt:00111745	subclass	owl:Class	LC10b		LC10b			
FBbt:00111746	subclass	owl:Class	LC10c		LC10c			
FBbt:00111748	subclass	owl:Class	LC10d		LC10d			
FBbt:00100483	subclass	owl:Class	LC11		LC11			
FBbt:00100484	subclass	owl:Class	LC12		LC12			
FBbt:00100485	subclass	owl:Class	LC13		LC13			
FBbt:00100486	subclass	owl:Class	LC14		LC14			
FBbt:00111750	subclass	owl:Class	LC15		LC15			
FBbt:00111751	subclass	owl:Class	LC16		LC16			
FBbt:00111752	subclass	owl:Class	LC17		LC17			
FBbt:00111753	subclass	owl:Class	LC18		LC18			
FBbt:00111755	subclass	owl:Class	LC20		LC20			
FBbt:00111756	subclass	owl:Class	LC21		LC21			
FBbt:00111757	subclass	owl:Class	LC22		LC22			
FBbt:00111759	subclass	owl:Class	LC24		LC24			
FBbt:00111760	subclass	owl:Class	LC25		LC25			
FBbt:00111761	subclass	owl:Class	LC26		LC26			
FBbt:00003874	subclass	owl:Class	LC4					
FBbt:00003876	subclass	owl:Class	LC6					
FBbt:00100480	subclass	owl:Class	LC9		LC9			
FBbt:00049139	subclass	owl:Class	LCNOp	FlyBase:FBrf0240744	LCNOp	FlyBase:FBrf0240744		
FBbt:00049138	subclass	owl:Class	LCNOpm	FlyBase:FBrf0240744	LCNOpm	FlyBase:FBrf0240744		
FBbt:00049318	subclass	owl:Class	LHAD1a1		LHAD1a1			
FBbt:00049319	subclass	owl:Class	LHAD1a2		LHAD1a2			
FBbt:00049320	subclass	owl:Class	LHAD1a3		LHAD1a3			
FBbt:00049321	subclass	owl:Class	LHAD1a4		LHAD1a4			
FBbt:00049322	subclass	owl:Class	LHAD1b1		LHAD1b1			
FBbt:00049323	subclass	owl:Class	LHAD1b2		LHAD1b2			
FBbt:00049324	subclass	owl:Class	LHAD1c1		LHAD1c1			
FBbt:00049325	subclass	owl:Class	LHAD1d1		LHAD1d1			
FBbt:00049326	subclass	owl:Class	LHAD1f1		LHAD1f1			
FBbt:00049328	subclass	owl:Class	LHAD2b1		LHAD2b1			
FBbt:00049329	subclass	owl:Class	LHAD3b1		LHAD3b1			
FBbt:00049331	subclass	owl:Class	LHAV1a1		LHAV1a1			
FBbt:00049332	subclass	owl:Class	LHAV1a2		LHAV1a2			
FBbt:00049333	subclass	owl:Class	LHAV1a3		LHAV1a3			
FBbt:00049334	subclass	owl:Class	LHAV1a4		LHAV1a4			
FBbt:00049335	subclass	owl:Class	LHAV1a5		LHAV1a5			
FBbt:00049336	subclass	owl:Class	LHAV1b1		LHAV1b1			
FBbt:00049337	subclass	owl:Class	LHAV2a1		LHAV2a1			
FBbt:00049338	subclass	owl:Class	LHAV2a2		LHAV2a2			
FBbt:00049339	subclass	owl:Class	LHAV2a3		LHAV2a3			
FBbt:00049340	subclass	owl:Class	LHAV2a4		LHAV2a4			
FBbt:00049341	subclass	owl:Class	LHAV2b1		LHAV2b1			
FBbt:00049342	subclass	owl:Class	LHAV2b2		LHAV2b2			
FBbt:00049343	subclass	owl:Class	LHAV2c1		LHAV2c1			
FBbt:00049344	subclass	owl:Class	LHAV3a1		LHAV3a1			
FBbt:00049345	subclass	owl:Class	LHAV4a1		LHAV4a1			
FBbt:00049346	subclass	owl:Class	LHAV4a2		LHAV4a2			
FBbt:00049347	subclass	owl:Class	LHAV4a3		LHAV4a3			
FBbt:00049348	subclass	owl:Class	LHAV4a4		LHAV4a4			
FBbt:00049349	subclass	owl:Class	LHAV4a5		LHAV4a5			
FBbt:00049350	subclass	owl:Class	LHAV4b1		LHAV4b1			
FBbt:00049351	subclass	owl:Class	LHAV4b2		LHAV4b2			
FBbt:00049352	subclass	owl:Class	LHAV4b3		LHAV4b3			
FBbt:00049353	subclass	owl:Class	LHAV4b4		LHAV4b4			
FBbt:00049354	subclass	owl:Class	LHAV4b5		LHAV4b5			
FBbt:00049356	subclass	owl:Class	LHAV4c1		LHAV4c1			
FBbt:00049357	subclass	owl:Class	LHAV4c2		LHAV4c2			
FBbt:00049359	subclass	owl:Class	LHAV4d1		LHAV4d1			
FBbt:00049360	subclass	owl:Class	LHAV5a1		LHAV5a1			
FBbt:00049361	subclass	owl:Class	LHAV5b1		LHAV5b1			
FBbt:00049362	subclass	owl:Class	LHAV6a1		LHAV6a1			
FBbt:00049363	subclass	owl:Class	LHAV6a2		LHAV6a2			
FBbt:00049364	subclass	owl:Class	LHAV6b1		LHAV6b1			
FBbt:00049365	subclass	owl:Class	LHAV6b3		LHAV6b3			
FBbt:00049366	subclass	owl:Class	LHAV6c1		LHAV6c1			
FBbt:00049367	subclass	owl:Class	LHAV7a1		LHAV7a1			
FBbt:00049368	subclass	owl:Class	LHPD2a1		LHPD2a1			
FBbt:00049369	subclass	owl:Class	LHPD2a2		LHPD2a2			
FBbt:00049370	subclass	owl:Class	LHPD2a3		LHPD2a3			
FBbt:00049371	subclass	owl:Class	LHPD2b1		LHPD2b1			
FBbt:00049372	subclass	owl:Class	LHPD2c1		LHPD2c1			
FBbt:00049373	subclass	owl:Class	LHPD2d1		LHPD2d1			
FBbt:00049375	subclass	owl:Class	LHPD3a1		LHPD3a1			
FBbt:00049376	subclass	owl:Class	LHPD3a2		LHPD3a2			
FBbt:00049377	subclass	owl:Class	LHPD4d1		LHPD4d1			
FBbt:00049378	subclass	owl:Class	LHPD4e1		LHPD4e1			
FBbt:00049424	subclass	owl:Class	LHPV10c1		LHPV10c1			
FBbt:00049428	subclass	owl:Class	LHPV12a1		LHPV12a1			
FBbt:00049379	subclass	owl:Class	LHPV2a1		LHPV2a1			
FBbt:00049380	subclass	owl:Class	LHPV2b1		LHPV2b1			
FBbt:00049381	subclass	owl:Class	LHPV2c1		LHPV2c1			
FBbt:00049382	subclass	owl:Class	LHPV2d1		LHPV2d1			
FBbt:00049384	subclass	owl:Class	LHPV4a1		LHPV4a1			
FBbt:00049393	subclass	owl:Class	LHPV4a10		LHPV4a10			
FBbt:00049394	subclass	owl:Class	LHPV4a11		LHPV4a11			
FBbt:00049395	subclass	owl:Class	LHPV4a12		LHPV4a12			
FBbt:00049385	subclass	owl:Class	LHPV4a2		LHPV4a2			
FBbt:00049386	subclass	owl:Class	LHPV4a3		LHPV4a3			
FBbt:00049387	subclass	owl:Class	LHPV4a4		LHPV4a4			
FBbt:00049388	subclass	owl:Class	LHPV4a5		LHPV4a5			
FBbt:00049389	subclass	owl:Class	LHPV4a6		LHPV4a6			
